"132,132,49,49"
"1,32,13,21,11,111"
"155,155,74,74"
"1,55,15,51,24,124"
"1,62,16,21,33,133"
"255,255,39,39"
"255,255,41,41"
"255,255,41,41"
"255,255,64,64"
"2,55,25,51,36,136"
"145,145,83,83"
"148,148,51,51"
"1,48,14,81,21,121"
"168,168,63,63"
"168,168,65,65"
"1,68,16,81,44,144"
"152,152,86,86"
"79,79,65,65"
"170,170,51,51"
"1,70,17,01,38,138"
"2,11,21,11,77,177"
"364,364,34,34"
"364,364,40,40"
"364,364,58,58"
"364,364,61,61"
"364,364,75,75"
"3,64,36,41,95,195"
"81,81,64,64"
"209,209,96,96"
"2,09,20,91,66,166"
"180,180,58,58"
"1,80,18,01,49,149"
"2,18,21,81,06,106"
"2,18,21,81,86,186"
"407,407,31,31"
"407,407,42,42"
"4,07,40,72,10,210"
"4,07,40,73,64,364"
"74,74,60,60"
"89,89,39,39"
"116,116,30,30"
"116,116,67,67"
"116,116,78,78"
"2,11,21,11,04,104"
"2,11,21,11,68,168"
"194,194,62,62"
"1,94,19,41,59,159"
"128,128,36,36"
"128,128,39,39"
"128,128,81,81"
"208,208,42,42"
"208,208,41,41"
"208,208,96,96"
"2,08,20,81,85,185"
"238,238,62,62"
"2,38,23,81,17,117"
"2,38,23,82,12,212"
"132,132,40,40"
"132,132,67,67"
"132,132,87,87"
"216,216,40,40"
"216,216,61,61"
"2,16,21,61,01,101"
"239,239,59,59"
"239,239,80,80"
"2,39,23,92,07,207"
"2,62,26,22,18,218"
"138,138,40,40"
"138,138,40,40"
"138,138,90,90"
"301,301,41,41"
"301,301,40,40"
"301,301,61,61"
"3,01,30,11,35,135"
"3,01,30,12,55,255"
"1,66,16,61,21,121"
"351,351,40,40"
"3,51,35,12,89,289"
"82,82,41,41"
"82,82,66,66"
"1,69,16,91,18,118"
"103,103,79,79"
"1,93,19,31,42,142"
"115,115,41,41"
"115,115,91,91"
"224,224,65,65"
"2,24,22,41,17,117"
"117,117,42,42"
"117,117,41,41"
"117,117,88,88"
"229,229,40,40"
"2,29,22,91,16,116"
"2,29,22,92,05,205"
"88,88,62,62"
"53,53,38,38"
"131,131,89,89"
"50,50,38,38"
"55,55,40,40"
"174,174,63,63"
"1,74,17,41,05,105"
"1,74,17,41,47,147"
"51,51,39,39"
"55,55,41,41"
"53,53,38,38"
"54,54,41,41"
"51,51,37,37"
"60,60,44,44"
"56,56,42,42"
"54,54,40,40"
"66,66,49,49"
"50,50,39,39"
"59,59,43,43"
"76,76,57,57"
"74,74,48,48"
"66,66,47,47"
"60,60,44,44"
"79,79,65,65"
"116,116,62,62"
"116,116,68,68"
"68,68,53,53"
"67,67,48,48"
"98,98,74,74"
"151,151,87,87"
"151,151,72,72"
"51,51,37,37"
"74,74,51,51"
"118,118,96,96"
"53,53,39,39"
"79,79,65,65"
"97,97,65,65"
"1,64,16,41,36,136"
"44,44,31,31"
"53,53,41,41"
"85,85,65,65"
"69,69,45,45"
"116,116,78,78"
"50,50,36,36"
"58,58,42,42"
"96,96,77,77"
"151,151,40,40"
"151,151,62,62"
"151,151,91,91"
"50,50,37,37"
"106,106,89,89"
"53,53,40,40"
"75,75,40,40"
"75,75,60,60"
"1,28,12,81,03,103"
"58,58,43,43"
"84,84,49,49"
"1,53,15,31,23,123"
"48,48,34,34"
"62,62,45,45"
"116,116,54,54"
"116,116,88,88"
"1,74,17,41,34,134"
"50,50,38,38"
"67,67,47,47"
"138,138,69,69"
"2,40,24,02,08,208"
"50,50,38,38"
"75,75,54,54"
"59,59,43,43"
"83,83,63,63"
"61,61,45,45"
"99,99,76,76"
"72,72,54,54"
"115,115,86,86"
"45,45,30,30"
"81,81,66,66"
"127,127,52,52"
"1,27,12,71,05,105"
"48,48,32,32"
"49,49,37,37"
"104,104,84,84"
"180,180,64,64"
"1,80,18,01,39,139"
"48,48,34,34"
"47,47,33,33"
"129,129,40,40"
"1,29,12,91,04,104"
"52,52,38,38"
"52,52,37,37"
"2,16,21,61,67,167"
"54,54,41,41"
"56,56,41,41"
"57,57,43,43"
"63,63,45,45"
"53,53,35,35"
"46,46,34,34"
"49,49,39,39"
"59,59,44,44"
"61,61,46,46"
"49,49,36,36"
"51,51,39,39"
"66,66,45,45"
"74,74,52,52"
"53,53,40,40"
"56,56,42,42"
"82,82,57,57"
"74,74,56,56"
"92,92,63,63"
"57,57,43,43"
"61,61,43,43"
"82,82,62,62"
"60,60,43,43"
"119,119,85,85"
"68,68,52,52"
"99,99,42,42"
"99,99,69,69"
"64,64,45,45"
"74,74,57,57"
"116,116,85,85"
"1,96,19,61,70,170"
"89,89,64,64"
"75,75,51,51"
"1,45,14,51,13,113"
"100,100,73,73"
